,question,answer,domain
11997,What is (are) afocal system?,"An optical system that produces no net convergence or divergence of the beam, i.e. has an infinite effective focal length. This type of system can be created with a pair of optical elements where the distance between the elements is equal to the sum of each element's focal length ( ).",physics
11998,What is (are) air mass?,"1.  In meteorology, a volume of air that is defined by its temperature and water vapor content. Air masses may cover many hundreds or thousands of square miles and generally adapt to the characteristics of the surface below them. They are often classified according to their latitude and their source regions. 2.  In astronomy, the ""amount of air that one is looking through"" when observing a star or other celestial source from a vantage point that is within Earth's atmosphere. It is formulated as the integral of air density along the light ray.",physics
11999,What is (are) air mass coefficient?,"Defines the direct optical path length through the Earth's atmosphere, expressed as a ratio relative to the path length vertically upwards, i.e. at the zenith. The air mass coefficient can be used to help characterize the solar spectrum after solar radiation has traveled through the atmosphere.",physics
12000,What is (are) albedo?,"The fraction of the total light incident on a reflecting surface, especially a celestial body, which is reflected back in all directions.",physics
12001,What is (are) alloy?,A chemical mixture of a metal with one or more other metals or other elements.,physics
12002,What is (are) alpha decay?,"Also α-decay. A type of radioactive decay in which an atomic nucleus emits an alpha particle and thereby transforms or ""decays"" into a different atomic nucleus, with a mass number that is reduced by four and an atomic number that is reduced by two.",physics
12003,What is (are) alpha particle (α)?,"Also symbolized by α2+, He2+ , and 4 2He2+ . A type of subatomic particle consisting of two protons and two neutrons bound together into a particle identical to the nucleus of a helium-4 ion. It has a charge of +2 e and a mass of 4 u. Alpha particles are classically produced in the process of radioactive alpha decay, but may also be produced in other ways and given the same name.",physics
12004,What is (are) alternating current (ac)?,A form of electric current in which the movement of electric charge periodically reverses direction. Contrast direct current.,physics
12005,What is (are) ammeter?,An instrument that is used to measure electric current.,physics
12006,What is (are) amorphous solid?,A type of solid which does not have a definite geometric shape.,physics
12007,What is (are) ampere (a)?,"Often abbreviated as amp. The SI base unit of electric current, defined as one coulomb of electric charge per second.",physics
12008,What is (are) amplifier?,"Also electronic amplifier or (informally) amp. An electronic device that can increase the power of a signal (a time-varying voltage or current). It is a two-port electronic circuit that uses electric power from a power supply to increase the amplitude of a signal applied to its input terminals, producing a proportionally greater amplitude signal at its output. The amount of amplification provided by an amplifier is measured by its gain: the ratio of output voltage, current, or power to input. An amplifier is a circuit that has a power gain greater than one.",physics
12009,What is (are) amplitude?,The height of a wave as measured from its center (normal) position.,physics
12010,What is (are) angle of incidence?,"In geometric optics, the angle between a ray incident on a surface and the line perpendicular to the surface at the point of incidence, called the normal. The ray can be formed by any wave: optical, acoustic, microwave, X-ray, etc.",physics
12011,What is (are) angle of reflection?,"The change in direction of a wavefront at an interface between two different media so that the wavefront returns into the medium from which it originated. Common examples include the reflection of light, sound, and water waves. The law of reflection says that for specular reflection the angle at which the wave is incident on the surface equals the angle at which it is reflected. Mirrors exhibit specular reflection.",physics
12012,What is (are) ångström (å)?,A unit of length primarily used to measure subatomic particles that is equal to 10−10 metres (one ten-billionth of a metre) or 0.1 nanometres.,physics
12013,What is (are) angular acceleration?,"The time rate of change of angular velocity. In three dimensions, it is a pseudovector. In SI units, it is measured in radians per second squared (rad/s2), and is usually denoted by the Greek letter alpha (α). Just like angular velocity, there are two types of angular acceleration: spin angular acceleration and orbital angular acceleration, representing the time rate of change of spin angular velocity and orbital angular velocity, respectively. Unlike linear acceleration, angular acceleration need not be caused by a net external torque. For example, a figure skater can speed up her rotation (thereby obtaining an angular acceleration) simply by contracting her arms inwards, which involves no external torque.",physics
12014,What is (are) angular displacement?,"The angle (in radians, degrees, or revolutions) through which a point revolving around a centre or line has been rotated in a specified sense about a specified axis.",physics
12015,What is (are) babinet's principle?,A theorem concerning diffraction which states that the diffraction pattern from an opaque body is identical to that from a hole of the same size and shape except for the overall forward beam intensity.,physics
12016,What is (are) background radiation?,The ubiquitous ionizing radiation to which the general human population is exposed.,physics
12017,What is (are) balanced forces?,"When all the forces acting upon an object balance each other, the object will be at equilibrium; it will not accelerate.",physics
12018,What is (are) balmer series?,"Also Balmer lines. In atomic physics, one of a set of six named series describing the spectral line emissions of the hydrogen atom. The Balmer series is calculated using the Balmer formula, an empirical equation discovered by Johann Balmer in 1885.",physics
12019,What is (are) barometer?,A scientific instrument used in meteorology to measure atmospheric pressure. Pressure tendency can forecast short-term changes in the weather.,physics
12020,What is (are) baryon?,"A subatomic particle such as a proton or a neutron, each of which is made of (usually) three quarks. Nearly all matter humans are likely to encounter is baryonic matter.",physics
12021,What is (are) battery?,A combination of two or more electrical cells which produces electricity.,physics
12022,What is (are) beam?,"A structural element that is capable of withstanding load primarily by resisting bending. Beams are traditionally descriptions of building or civil engineering structural elements, but smaller structures such as truck or automobile frames, machine frames, and other mechanical or structural systems contain beam structures that are designed and analyzed in a similar fashion.",physics
12023,What is (are) bending?,Also known as flexure. The behavior of a slender structural element subjected to an external load applied perpendicularly to a longitudinal axis of the element.,physics
12024,What is (are) bending moment?,"The reaction induced in a structural element when an external force or moment is applied to the element, causing the element to bend. The simplest structural element subjected to bending moments is the beam.",physics
12025,What is (are) bernoulli's principle?,"In fluid dynamics, a principle which states that an increase in the speed of a fluid occurs simultaneously with a decrease in pressure or a decrease in the fluid's potential energy.: Ch.3 : 156–164, § 3.5",physics
12026,What is (are) bessel function?,"A canonical solution y(x) of Friedrich Bessel's differential equation for an arbitrary complex number α, the order of the Bessel function. Although α and −α produce the same differential equation, it is conventional to define different Bessel functions for these two values in such a way that the Bessel functions are mostly smooth functions of α. The most important cases are when α is an integer or half-integer. Bessel functions for integer α are also known as cylinder functions or the cylindrical harmonics because they appear in the solution to Laplace's equation in cylindrical coordinates. Spherical Bessel functions with half-integer α are obtained when the Helmholtz equation is solved in spherical coordinates.",physics
12027,What is (are) beta decay?,"Also β-decay. In nuclear physics, a type of radioactive decay in which a beta particle is emitted from an atomic nucleus, transforming the original nuclide to its isobar.",physics
12028,What is (are) beta particle?,"A high-energy, high-speed electron or positron emitted by certain types of radioactive atomic nuclei.",physics
12029,What is (are) big bang?,The prevailing cosmological model that describes the early development of the Universe.,physics
12030,What is (are) binding energy?,The mechanical energy required to disassemble a whole into separate parts. A bound system typically has a lower potential energy than the sum of its constituent parts.,physics
12031,What is (are) biophysics?,An interdisciplinary science using methods of and theories from physics to study biological systems.,physics
12032,What is (are) black body?,"A hypothetical idealized physical body that completely absorbs all incident electromagnetic radiation, regardless of frequency or angle of incidence. Perfect black bodies are imagined as substitutes for actual physical bodies in many theoretical discussions of thermodynamics, and the construction of nearly perfect black bodies in the real world remains a topic of interest for materials engineers. Contrast white body.",physics
12033,What is (are) black-body radiation?,"The type of electromagnetic radiation within or surrounding a body in thermodynamic equilibrium with its environment, or emitted by a black body (an opaque and non-reflective body) held at constant, uniform temperature. The radiation has a specific spectrum and intensity that depends only on the temperature of the body.",physics
12034,What is (are) block and tackle?,"A system of two or more pulleys with a rope or cable threaded between them, usually used to lift or pull heavy loads.",physics
12035,What is (are) boiling point?,The temperature at which a liquid undergoes a phase change into a gas; the vapour pressure of liquid and gas are equal at this temperature.,physics
12036,What is (are) boiling point elevation?,"The phenomenon by which the boiling point of a liquid (a solvent) increases when another compound is added, meaning that the resulting solution has a higher boiling point than the pure solvent. This happens whenever a non-volatile solute, such as a salt, is added to a pure solvent, such as water. The boiling point can be measured accurately using an ebullioscope.",physics
12037,What is (are) boltzmann constant?,A physical constant relating the average kinetic energy of the particles in a gas with the temperature of the gas. It is the gas constant R divided by the Avogadro constant NA.,physics
12038,What is (are) boson?,"A type of subatomic particle that behaves according to Bose–Einstein statistics and possesses integer spin. Bosons include elementary particles such as photons, gluons, W and Z bosons, Higgs bosons, and the hypothetical graviton, as well as certain composite particles such as mesons and stable nuclides of even mass number. Bosons constitute one of two main classes of particles, the other being fermions. Unlike fermions, there is no limit to the number of bosons that can occupy the same quantum state.",physics
12039,What is (are) boyle's law?,A chemical law which states that the volume of a given mass of a gas at constant temperature is inversely proportional to its pressure.,physics
12040,What is (are) bremsstrahlung?,Radiation emitted by the acceleration of unbound charged particles.,physics
12041,What is (are) brewster's angle?,"Also called the polarization angle. The angle of incidence at which light with a particular polarization is completely transmitted through a transparent dielectric surface, with no reflection. When unpolarized light is incident at this angle, the light that is reflected is consequently perfectly polarized.",physics
12042,What is (are) british thermal unit (btu)?,"An Imperial unit of energy defined as the amount of energy needed to heat one pound of water by one degree Fahrenheit; 1 btu is equal to about 1,055 joules. In scientific contexts the btu has largely been replaced by the SI unit of energy, the joule.",physics
12043,What is (are) brittleness?,"The tendency of a material to break without significant plastic deformation when subjected to stress. Brittle materials absorb relatively little energy prior to fracture, even those of high strength. Breaking is often accompanied by a snapping sound.",physics
12044,What is (are) brownian motion?,Also called pedesis. The presumably random movement of particles suspended in a fluid (liquid or gas) resulting from their bombardment by fast-moving atoms or molecules in the gas or liquid.,physics
12045,What is (are) bulk modulus?,A measure of a substance's resistance to uniform compression defined as the ratio of the infinitesimal pressure increase to the resulting relative decrease of the volume. Its base unit is the pascal.,physics
12046,What is (are) calculus?,"A branch of mathematics that studies change and has two major sub-fields: differential calculus (concerning rates of change and slopes of curves), and integral calculus (concerning accumulation of quantities and the areas under and between curves). These two branches are related to each other by the fundamental theorem of calculus.",physics
12047,What is (are) capacitance?,"The ratio of the change in the electric charge of a system to the corresponding change in its electric potential. There are two closely related notions of capacitance: self capacitance and mutual capacitance. Any object that can be electrically charged exhibits self capacitance. A material with a large self capacitance holds more electric charge at a given voltage than one with low capacitance. The notion of mutual capacitance is particularly important for understanding the operations of the capacitor, one of the three elementary linear electronic components (along with resistors and inductors).",physics
12048,What is (are) capacitive reactance?,"An opposition to the change of voltage across an electrical circuit element. Capacitive reactance is inversely proportional to the signal frequency (or angular frequency, ω) and the capacitance .",physics
12049,What is (are) capacitor?,An electrical circuit element consisting of two conductors separated by an insulator (also known as a dielectric).,physics
12050,What is (are) carnot cycle?,"A theoretical ideal thermodynamic cycle proposed by French physicist Nicolas Léonard Sadi Carnot in 1824 and expanded upon by others in the 1830s and 1840s. It provides an upper limit on the efficiency that any classical thermodynamic engine can achieve during the conversion of heat into work, or conversely, the efficiency of a refrigeration system in creating a temperature difference by the application of work to the system. It is not an actual thermodynamic cycle but is a theoretical construct.",physics
12051,What is (are) cartesian coordinate system?,"A coordinate system that specifies each point uniquely in a plane by a set of numerical coordinates, which are the signed distances to the point from two fixed perpendicular oriented lines, measured in the same unit of length. Each reference line is called a coordinate axis or just axis (plural axes) of the system, and the point where they meet is called the origin, at ordered pair (0, 0). The coordinates can also be defined as the positions of the perpendicular projections of the point onto the two axes, expressed as signed distances from the origin.",physics
12052,What is (are) cathode?,"The electrode through which a conventional electric current flows out of a polarized electrical device; the direction of current flow is, by convention, opposite to the direction of electron flow, and so electrons flow into the cathode. In a galvanic cell, the cathode is the positive terminal or pole which accepts electrons flowing from the external part of an electrical circuit. However, in an electrolytic cell, the cathode is the wire or plate having excess negative charge, so named because positively charged cations tend to move towards it. Contrast anode.",physics
12053,What is (are) celsius scale?,Also centigrade scale. A scale and unit of measurement of temperature.,physics
12054,What is (are) center of gravity?,"The point in a body around which the resultant torque due to gravity forces vanish. Near the surface of the earth, where gravity acts downward as a parallel force field, the center of gravity and the center of mass are the same.",physics
12055,What is (are) center of mass?,"Within a given distribution of mass, the unique point in space at which the weighted relative position of the distributed mass sums to zero.",physics
12056,What is (are) central-force problem?,"A classic problem in potential theory involving the determination of the motion of a particle in a single central potential field. The solutions to such problems are important in classical mechanics, since many naturally occurring forces, such as gravity and electromagnetism, are central forces.",physics
12057,What is (are) centrifugal force?,The apparent outward force that draws a rotating body away from the centre of rotation. It is caused by the inertia of the body as the body's path is continually redirected.,physics
12058,What is (are) centripetal force?,A force which keeps a body moving with a uniform speed along a circular path and is directed along the radius towards the centre.,physics
12059,What is (are) cgh physics?,"Any attempt in mainstream physics to unify existing theories of relativity, gravitation, and quantum mechanics, particularly by envisioning the three universal constants fundamental to each field – the speed of light ( ), the gravitational constant ( ), and the Planck constant ( ) – as the edges of a three-dimensional cube, at each corner of which is positioned a major sub-field within theoretical physics according to which of the three constants are accounted for by that sub-field and which are ignored. One corner of this so-called ""cube of theoretical physics"", where all three constants are accounted for simultaneously, has not yet been satisfactorily described: quantum gravity.",physics
12060,What is (are) chain reaction?,A sequence of reactions in which a reactive product or byproduct causes additional similar reactions to take place.,physics
12061,What is (are) chemical physics?,A branch of chemistry and physics that studies chemical processes from the point of view of physics by investigating physicochemical phenomena using techniques from atomic and molecular physics and condensed matter physics.,physics
12062,What is (are) classical mechanics?,Also called Newtonian mechanics. A sub-field of mechanics concerned with the set of physical laws describing the motion of bodies under the collective actions of a system of forces.,physics
12063,What is (are) cohesion?,The tendency of similar particles or surfaces to cling to one another. Contrast adhesion.,physics
12064,What is (are) compton scattering?,"A type of light–matter interaction in which a photon is scattered by a charged particle, usually an electron, which results in part of the energy of the photon being transferred to the recoiling electron; a resulting decrease in the energy of the photon is called the Compton effect. The opposite phenomenon occurs in inverse Compton scattering, when a charged particle transfers part of its energy to a photon.",physics
12065,What is (are) condensed matter physics?,A branch of physics that studies the physical properties of condensed phases of matter.,physics
12066,What is (are) convection?,The transfer of heat by the actual transfer of matter.,physics
12067,What is (are) coulomb (c)?,"The SI derived unit of electric charge, defined as the charge transported by a constant current of one ampere in one second.",physics
12068,What is (are) crest?,The point on a wave with the maximum value or upward displacement within a cycle.,physics
12069,What is (are) critical mass?,The smallest amount of fissile material needed for a sustained nuclear chain reaction.,physics
12070,What is (are) curvilinear motion?,The motion of a moving particle or object that conforms to a known or fixed curve. Such motion is studied with two coordinate systems: planar motion and cylindrical motion.,physics
12071,What is (are) damping ratio?,"Any influence upon or within an oscillatory system that has the effect of reducing, restricting, or preventing its oscillations. Damping is a result of processes that dissipate the energy stored in the oscillation.",physics
12072,What is (are) dc motor?,A mechanically commutated electric motor powered by direct current.,physics
12073,What is (are) deflection?,The degree to which a structural element is displaced under a load. It may refer to an angle or a distance.,physics
12074,What is (are) density?,Also called mass density. A physical property of a substance defined as its mass per unit volume.,physics
12075,What is (are) derivative?,"For a mathematical function of a real variable, a measurement of the sensitivity to change of the function value (output) with respect to a change in its argument (input); e.g. the derivative of the position of a moving object with respect to time is the object's velocity and measures how quickly the position of the object changes as time changes. Derivatives are a fundamental tool of calculus.",physics
12076,What is (are) dielectric?,"An electrical insulator that can be polarized by an applied electric field. When a dielectric material is placed in an electric field, electric charges do not flow through the material as they would in a conductor but only shift slightly from their equilibrium positions, with positive charges displaced in the direction of the field's flow and negative charges displaced in the opposite direction; this creates an internal electric field that reduces the larger field within the dielectric material.",physics
12077,What is (are) displacement?,"1.  (fluid) Occurs when an object is immersed in a fluid, pushing it out of the way and taking its place. The volume of the immersed object will be exactly equal to the volume of the displaced fluid, so that the volume of the immersed object can be deduced if the volume of the displaced fluid is measured. 2.  (vector) The shortest distance from the initial to the final position of a point. Thus, it is the length of an imaginary straight path, typically distinct from the path actually travelled by.",physics
12078,What is (are) distance?,A numerical description of how far apart objects are.,physics
12079,What is (are) doppler effect?,"The change in frequency of a wave (or other periodic event) for an observer moving relative to its source. Compared to the emitted frequency, the received frequency is higher during the approach, identical at the instant of passing by, and lower during the recession.",physics
12080,What is (are) drag?,"Forces which act on a solid object in the direction of the relative fluid flow velocity. Unlike other resistive forces, such as dry friction, which is nearly independent of velocity, drag forces depend on velocity.",physics
12081,What is (are) ductility?,A solid material's ability to deform under tensile stress; this is often characterized by the material's ability to be stretched into a wire.,physics
12082,What is (are) dynamics?,"The branch of classical mechanics that studies forces and torques and their effects on motion, as opposed to kinematics, which studies motion without reference to these forces.",physics
12083,What is (are) elasticity?,The tendency of a material to return to its original shape after it is deformed.,physics
12084,What is (are) electric charge?,A physical property of matter that causes it to experience a force when near other electrically charged matter. There are two types of electric charge: positive and negative.,physics
12085,What is (are) electric circuit?,"An electrical network consisting of a closed loop, giving a return path for the current.",physics
12086,What is (are) electric current?,A flow of electric charge through a conductive medium.,physics
12087,What is (are) electric field?,The region of space surrounding electrically charged particles and time-varying magnetic fields. The electric field represents the force exerted on other electrically charged objects by the electrically charged particle the field is surrounding.,physics
12088,What is (are) electric power?,The rate at which electric energy is transferred by an electric circuit.,physics
12089,What is (are) electrical conductor?,Any material which contains movable electric charges and therefore can conduct an electric current under the influence of an electric field.,physics
12090,What is (are) electrical insulator?,Any material whose internal electric charges do not flow freely and which therefore does not conduct an electric current under the influence of an electric field.,physics
12091,What is (are) electrical network?,"An interconnection of electrical elements such as resistors, inductors, capacitors, voltage sources, current sources, and switches.",physics
12092,What is (are) electrical resistance?,The opposition to the passage of an electric current through an electrical element.,physics
12093,What is (are) electricity?,The set of physical phenomena associated with the presence and flow of electric charges.,physics
12094,What is (are) electromagnet?,A type of magnet in which the magnetic field is produced by the flow of electric current.,physics
12095,What is (are) electromagnetic field?,Also abbreviated EM field or EMF. A physical field produced by moving electrically charged objects.,physics
12096,What is (are) electromagnetic radiation?,"Also abbreviated EM radiation or EMR. A form of energy emitted and absorbed by charged particles, which exhibits wave-like behavior as it travels through space.",physics
12097,What is (are) electromotive force ( )?,"Also abbreviated emf. The electrical intensity or ""pressure"" developed by a source of electrical energy such as a battery or generator and measured in volts. Any device that converts other forms of energy into electrical energy provides electromotive force as its output.",physics
12098,What is (are) electron?,A subatomic particle with a negative elementary electric charge.,physics
12099,What is (are) electron paramagnetic resonance?,Also called electron spin resonance (ESR) and electron magnetic resonance (EMR). A method for studying materials with unpaired electrons which makes use of the Zeeman effect. It shares some basic principles with nuclear magnetic resonance (NMR).,physics
12100,What is (are) electronvolt (ev)?,"A unit of energy equal to approximately 1.6×10−19 joule. By definition, it is the amount of energy gained by the charge of a single electron moved across an electric potential difference of one volt.",physics
12101,What is (are) electronegativity?,A chemical property that describes the tendency of an atom or a functional group to attract electrons (or electron density) towards itself.,physics
12102,What is (are) electronics?,"A field that deals with electrical circuits that involve active electrical components such as vacuum tubes, transistors, diodes, and integrated circuits as well as associated passive interconnection technologies.",physics
12103,What is (are) endothermic?,"An adjective used to refer to a process or reaction in which a system absorbs energy from its surroundings, usually in the form of heat but also in the form of light, electricity, or sound. Contrast exothermic.",physics
12104,What is (are) entropy?,A quantity which describes the randomness of a substance or system.,physics
12105,What is (are) escape velocity?,"The velocity at which the kinetic energy plus the gravitational potential energy of an object is zero. It is the speed needed to ""escape"" from a gravitational field without further propulsion.",physics
12106,What is (are) exothermic?,"An adjective used to refer to a process or reaction that releases energy from a system, usually in the form of heat but also in the form of light, electricity, or sound. Contrast endothermic.",physics
12107,What is (are) falling bodies?,"Objects that are moving towards a body with greater gravitational influence, such as a planet.",physics
12108,What is (are) fermion?,"A type of particle that behaves according to Fermi–Dirac statistics, obeys the Pauli exclusion principle, and possesses half-integer spin. Fermions include all quarks and leptons, as well as all composite particles made of an odd number of these (such as all baryons and many atoms and nuclei). Fermions constitute one of two main classes of particles, the other being bosons.",physics
12109,What is (are) fission?,"Either a nuclear reaction or a radioactive decay process in which the nucleus of an atom splits into smaller parts (lighter nuclei), often producing free neutrons and photons (in the form of gamma rays) and releasing relatively large amounts of energy.",physics
12110,What is (are) force (f)?,"A push or pull. Any interaction that, when unopposed, will change the motion of a physical body. A force has both magnitude and direction, making it a vector quantity. The SI unit used to measure force is the newton.",physics
12111,What is (are) free fall?,Any motion of a body where its own weight is the only force acting upon it.,physics
12112,What is (are) freezing point?,The temperature at which a substance changes state from liquid to solid.,physics
12113,What is (are) gamma ray?,A form of electromagnetic radiation of very high frequency and therefore very high energy.,physics
12114,What is (are) gravitation?,Also called gravity. A natural phenomenon by which physical bodies attract each other with a force proportional to their masses.,physics
12115,What is (are) gravitational constant (g)?,Also called the universal gravitational constant and Newton's constant. A physical constant involved in the calculation of gravitational force between two bodies.,physics
12116,What is (are) gravitational energy?,The potential energy associated with the gravitational field.,physics
12117,What is (are) gravitational field?,"A model used to explain the influence that a massive body extends into the space around itself, producing a force (gravity) on another massive body. Thus, a gravitational field is used to explain and represent gravitational phenomena. It is measured in newtons per kilogram (N/kg).",physics
12118,What is (are) gravitational potential?,The gravitational potential at a location is equal to the work (energy transferred) per unit mass that is done by the force of gravity to move an object to a fixed reference location.,physics
12119,What is (are) gravitational wave?,"A ripple in the curvature of spacetime that propagates as a wave and is generated in certain gravitational interactions, travelling outward from their source.",physics
12120,What is (are) hadron?,"A composite particle made from three quarks or three antiquarks baryon, or one quark and one antiquark meson.",physics
12121,What is (are) half-life?,"The time required for a quantity to fall to half its value as measured at the beginning of the time period. In physics, half-life typically refers to a property of radioactive decay, but may refer to any quantity which follows an exponential decay.",physics
12122,What is (are) heat?,A form of energy transferred from one body to another by thermal interaction.,physics
12123,What is (are) hertz?,"The SI unit of frequency, defined as the number of cycles per second of a periodic phenomenon.",physics
12124,What is (are) ice point?,A physical process that results in the phase transition of a substance from a liquid to a solid.,physics
12125,What is (are) impedance?,The measure of the opposition that a circuit presents to a current when a voltage is applied.,physics
12126,What is (are) impulse?,"The change in momentum, which is equal to the average net external force multiplied by the time this force acts.",physics
12127,What is (are) inertia?,"The resistance of any physical object to a change in its state of motion or rest, or the tendency of an object to resist any change in its motion.",physics
12128,What is (are) international system of units (si)?,"The modern form of the metric system, comprising a system of units of measurement devised around seven base units and the convenience of the number ten.",physics
12129,What is (are) ion?,"An atom or molecule in which the total number of electrons is not equal to the total number of protons, giving the atom a net positive or negative electric charge.",physics
12130,What is (are) ionic bond?,A type of chemical bond formed through an electrostatic attraction between two oppositely charged ions.,physics
12131,What is (are) ionization?,The process of converting an atom or molecule into an ion by adding or removing charged particles such as electrons or other ions.,physics
12132,What is (are) kelvin?,A scale and unit of measurement of temperature. The Kelvin scale is an absolute thermodynamic temperature scale which uses absolute zero as its null point.,physics
12133,What is (are) kinematics?,"The branch of classical mechanics that describes the motion of points, bodies (objects), and systems of bodies (groups of objects) without consideration of the causes of motion. The study of kinematics is often referred to as the ""geometry of motion"".",physics
12134,What is (are) kinetic energy?,"The energy that a physical body possesses due to its motion, defined as the work needed to accelerate a body of a given mass from rest to its stated velocity. The body continues to maintain this kinetic energy unless its velocity changes. Contrast potential energy.",physics
12135,What is (are) laminar flow?,Also called streamline flow. Occurs when a fluid flows in parallel layers with no disruption between the layers.,physics
12136,What is (are) laplace–runge–lenz vector?,"Also abbreviated LRL vector. A vector used chiefly to describe the shape and orientation of the orbit of one astronomical body around another, such as a planet revolving around a star. For two bodies interacting by Newtonian gravity, the LRL vector is a constant of motion, meaning that it is the same no matter where it is calculated on the orbit; equivalently, the LRL vector is said to be conserved.",physics
12137,What is (are) laser?,"A device that emits light through a process of optical amplification based on the stimulated emission of electromagnetic radiation. The word ""laser"" is an acronym for ""light amplification by stimulated emission of radiation""",physics
12138,What is (are) lc circuit?,A circuit consisting of an inductor (with inductance L) and a capacitor (with capacitance C).,physics
12139,What is (are) lepton?,An elementary particle which does not undergo strong interactions but is subject to the Pauli exclusion principle. Two main classes of leptons exist: charged leptons (also known as the electron-like leptons) and neutral leptons (better known as neutrinos).,physics
12140,What is (are) lever?,A type of machine consisting of a beam or rigid rod pivoted at a fixed hinge or fulcrum; one of six classical simple machines.,physics
12141,What is (are) light?,"A form of electromagnetic radiation that occupies a certain range of wavelengths within the electromagnetic spectrum. In physics, the term sometimes refers collectively to electromagnetic radiation of any wavelength, in which case light includes gamma rays, X-rays, microwaves, and radio waves, but in common usage ""light"" more often refers specifically to visible light.",physics
12142,What is (are) linear actuator?,A form of motor that generates a linear movement directly.,physics
12143,What is (are) linear algebra?,"The branch of mathematics concerning vector spaces, often finite or countably infinite dimensional, as well as linear mappings between such spaces.",physics
12144,What is (are) linear elasticity?,The mathematical study of how solid objects deform and become internally stressed due to prescribed loading conditions. Linear elasticity is a simplification of the more general nonlinear theory of elasticity and is a branch of continuum mechanics.,physics
12145,What is (are) liquid?,One of four classical states of matter having a definite volume but no fixed shape.,physics
12146,What is (are) liquid crystal (lc)?,"A state of matter which has properties between those of a conventional liquid and those of a solid crystal. For instance, an LC may flow like a liquid, but its molecules may be oriented in a crystal-like way.",physics
12147,What is (are) mach number?,A dimensionless quantity representing the ratio of the speed of an object moving through a fluid to the local speed of sound.,physics
12148,What is (are) mach's principle?,The proposition that the existence of absolute rotation (the distinction of local inertial frames vs. rotating reference frames) is determined by the large-scale distribution of matter.,physics
12149,What is (are) machine?,"Any powered tool consisting of one or more parts that is constructed to achieve a particular goal. Machines are usually powered by mechanical, chemical, thermal or electrical means, and are frequently motorised.",physics
12150,What is (are) machine element?,"An elementary component of a machine. There are three basic types: structural components, mechanisms, and control components.",physics
12151,What is (are) maclaurin series?,A representation of a function as an infinite sum of terms that are calculated from the values of the function's derivatives at a single point.,physics
12152,What is (are) magnetic field?,A mathematical description of the magnetic influence of electric currents and magnetic materials. The magnetic field at any given point is specified by both a direction and a magnitude (or strength); as such it is a vector field.,physics
12153,What is (are) magnetism?,A property of materials that respond to an applied magnetic field.,physics
12154,What is (are) mass balance?,Also called material balance. An application of the law of conservation of mass to the analysis of physical systems.,physics
12155,What is (are) mass flux?,"The rate of mass flow per unit area. The common symbols are j, J, φ, or Φ, sometimes with subscript m to indicate mass is the flowing quantity. Its SI units are kg s−1 m−2.",physics
12156,What is (are) mass moment of inertia?,A property of a distribution of mass in space that measures its resistance to rotational acceleration about an axis.,physics
12157,What is (are) mass number?,Also called atomic mass number or nucleon number. The total number of protons and neutrons (together known as nucleons) in an atomic nucleus.,physics
12158,What is (are) materials science?,"An interdisciplinary field incorporating elements of physics, chemistry, and engineering that is concerned with the design and discovery of new materials, particularly solids.",physics
12159,What is (are) mathematical physics?,The application of mathematics to problems in physics and the development of mathematical methods suitable for such applications and for the formulation of physical theories.,physics
12160,What is (are) mathematics?,"The abstract study of topics encompassing quantity, structure, space, change, and other properties.",physics
12161,What is (are) matrix?,"A rectangular array of numbers, symbols, or expressions arranged in rows and columns. The individual items in a matrix are called its elements or entries.",physics
12162,What is (are) matter?,Any substance (often a particle) that has rest mass and (usually) also volume.,physics
12163,What is (are) maxwell's equations?,"A set of partial differential equations that, together with the Lorentz force law, form the foundation of classical electrodynamics, classical optics, and electric circuits. Maxwell's equations describe how electric and magnetic fields are generated and altered by each other and by charges and currents.",physics
12164,What is (are) measure of central tendency?,"A term which relates to the way in which quantitative data tend to cluster around some value. A measure of central tendency is any of a number of ways of specifying this ""central value"".",physics
12165,What is (are) mechanics?,The branch of science concerned with the behaviour of physical bodies when subjected to forces or displacements and the subsequent effects of the bodies on their environment.,physics
12166,What is (are) melting?,Also called fusion. A physical process that results in the phase transition of a substance from a solid to a liquid.,physics
12167,What is (are) meson?,"A type of hadronic subatomic particle composed of one quark and one antiquark bound together by the strong interaction. All mesons are unstable, with the longest-lived lasting for only a few hundredths of a microsecond.",physics
12168,What is (are) modulus of elasticity?,"The mathematical description of an object's or substance's tendency to be deformed elastically (i.e. non-permanently) when a force is applied to it. The elastic modulus of an object is defined as the slope of its stress–strain curve in the elastic deformation region. As such, a stiffer material will have a higher elastic modulus.",physics
12169,What is (are) molar mass?,A physical property of matter defined as the mass of a given substance divided by the amount of substance and expressed in grams per mole.,physics
12170,What is (are) molecule?,An electrically neutral group of two or more atoms held together by covalent chemical bonds. Molecules are distinguished from ions by having a net electric charge equal to zero.,physics
12171,What is (are) molecular physics?,"A branch of physics that studies the physical properties of molecules and the chemical bonds between atoms as well as their molecular dynamics. It is closely related to atomic physics and overlaps greatly with theoretical chemistry, physical chemistry and chemical physics.",physics
12172,What is (are) moment of inertia?,A property of a distribution of mass in space that measures its resistance to rotational acceleration about an axis.,physics
12173,What is (are) momentum?,A vector quantity consisting of the product of the mass and velocity of an object.,physics
